test_id,test_name,status,reason,mapped_parameter_count
1311,ANTI HBC IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1312,ANTI HBc IgM,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1318,ANTI KIDNEY LIVER MICROSOMAL ANTIBODIES,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1319,ANTI MITOCHONDRIAL ANTIBODY (A.M.A),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1320,Anti Mullerian Hormone (AMH),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1322,ANTI PHOSPHOLIPID IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1323,ANTI PHOSPHOLIPID IgM,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1324,ANTI SCL-70,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1325,ANTI SMOOTH MUSCLE Abs (A.S.M.A),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1326,ANTI SPERM ANTI BODIES,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1327,Anti Thyroglobulin Antibodies (Anti TG),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1328,Anti Thyroid Peroxidase (Blood TPO),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1329,BRUCELLA TEST (IgG),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1330,BRUCELLA TEST (IgM),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1331,C-Peptide Level (Fasting),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1332,CEA (Carcinoembryonic Antigen),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1333,CA 15-3 (Blood),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1334,CMV IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1335,CMV IgM,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1337,CORTISOL (SPOT URINE),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1342,DENGUE IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1343,DENGUE IgM,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1344,DHEA SO4,NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
1345,DIGOXIN,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1348,Estradiol,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1349,Estrogen,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1350,F.D.P's (D-DIMER),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1353,Fibrinogen Level,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1357,HBA1c,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1359,H. Pylori IgA,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1360,H. Pylori IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1361,H. Pylori IgM,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1362,HERPES IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1363,HERPES IgM,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1365,HOMOCYSTINE (BLOOD),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1368,IgA Level,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1369,IgG Level,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1370,IgM,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1372,Insulin (Random),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1373,Insulin Growth Factor-1 (IGF-1),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1374,IONIZED CALCIUM,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
