"app","file","line","sdk_call","method","path"
"admin","apps/admin/src/app/(protected)/opd/feature-flags/page.tsx","42","client.GET","GET","/tenants/{tenantId}/feature-flags"
"admin","apps/admin/src/app/(protected)/opd/feature-flags/page.tsx","77","client.PUT","PUT","/tenants/{tenantId}/feature-flags"
"admin","apps/admin/src/app/(protected)/opd/feature-flags/page.tsx","94","client.PUT","PUT","/tenants/{tenantId}/feature-flags"
"admin","apps/admin/src/app/(protected)/opd/providers/[providerId]/page.tsx","24","client.GET","GET","/opd/providers/{providerId}"
"admin","apps/admin/src/app/(protected)/opd/providers/page.tsx","85","client.GET","GET","/opd/providers"
"admin","apps/admin/src/app/(protected)/opd/providers/page.tsx","118","client.POST","POST","/opd/providers"
"admin","apps/admin/src/app/(protected)/opd/providers/page.tsx","150","client.PATCH","PATCH","/opd/providers/{providerId}"
"admin","apps/admin/src/app/(protected)/opd/providers/page.tsx","167","client.DELETE","DELETE","/opd/providers/{providerId}"
"admin","apps/admin/src/app/(protected)/opd/schedules/page.tsx","104","client.GET","GET","/opd/providers"
"admin","apps/admin/src/app/(protected)/opd/schedules/page.tsx","122","client.GET","GET","/opd/providers/{providerId}/schedules"
"admin","apps/admin/src/app/(protected)/opd/schedules/page.tsx","153","client.POST","POST","/opd/providers/{providerId}/schedules"
"admin","apps/admin/src/app/(protected)/opd/schedules/page.tsx","178","client.PATCH","PATCH","/opd/providers/{providerId}/schedules/{scheduleId}"
"admin","apps/admin/src/app/(protected)/opd/schedules/page.tsx","196","client.DELETE","DELETE","/opd/providers/{providerId}/schedules/{scheduleId}"
"admin","apps/admin/src/app/(protected)/ops/backups/new/page.tsx","22","client.GET","GET","/ops/storage-targets"
"admin","apps/admin/src/app/(protected)/ops/backups/new/page.tsx","36","client.POST","POST","/ops/backups/full:run"
"admin","apps/admin/src/app/(protected)/ops/backups/page.tsx","50","client.GET","GET","/ops/runs"
"admin","apps/admin/src/app/(protected)/ops/logs/page.tsx","38","client.GET","GET","/ops/runs"
"admin","apps/admin/src/app/(protected)/ops/logs/page.tsx","54","client.GET","GET","/ops/runs/{id}/logs"
